'Crate name', 'Successful filtering', 'Duration (s)', 'Exit status', 'Start', 'End'
'419_target_build_utils', true, 369, 0, '2018-11-14 16:34:21', '2018-11-14 16:40:30'
'423_h2', true, 45, 0, '2018-11-14 16:40:30', '2018-11-14 16:41:15'
'425_radix_trie', true, 3, 0, '2018-11-14 16:41:15', '2018-11-14 16:41:18'
'426_nibble_vec', true, 1, 0, '2018-11-14 16:41:18', '2018-11-14 16:41:19'
'428_conv', true, 5, 0, '2018-11-14 16:41:19', '2018-11-14 16:41:24'
'430_draw_state', true, 9, 0, '2018-11-14 16:41:24', '2018-11-14 16:41:33'
'432_endian-type', true, 1, 0, '2018-11-14 16:41:33', '2018-11-14 16:41:34'
'434_environment', true, 1, 0, '2018-11-14 16:41:34', '2018-11-14 16:41:35'
'436_libsqlite3-sys', true, 4, 0, '2018-11-14 16:41:35', '2018-11-14 16:41:39'
'437_tiny-keccak', true, 2, 0, '2018-11-14 16:41:39', '2018-11-14 16:41:41'
'438_cloudabi', true, 12, 0, '2018-11-14 16:41:41', '2018-11-14 16:41:53'
'439_slog-term', true, 14, 0, '2018-11-14 16:41:53', '2018-11-14 16:42:07'
'441_ws', true, 17, 0, '2018-11-14 16:42:07', '2018-11-14 16:42:24'
'443_string', true, 1, 0, '2018-11-14 16:42:24', '2018-11-14 16:42:25'
'444_tokio-current-thread', true, 3, 0, '2018-11-14 16:42:25', '2018-11-14 16:42:28'
'445_procedural-masquerade', true, 0, 0, '2018-11-14 16:42:28', '2018-11-14 16:42:28'
'446_r2d2', true, 2, 0, '2018-11-14 16:42:28', '2018-11-14 16:42:30'
'447_stb_truetype', true, 6, 0, '2018-11-14 16:42:30', '2018-11-14 16:42:36'
'448_cexpr', true, 34, 0, '2018-11-14 16:42:36', '2018-11-14 16:43:10'
'450_tokio-signal', true, 2, 0, '2018-11-14 16:43:10', '2018-11-14 16:43:12'
'454_rustc-hash', true, 1, 0, '2018-11-14 16:43:12', '2018-11-14 16:43:13'
'455_c_vec', true, 0, 0, '2018-11-14 16:43:13', '2018-11-14 16:43:13'
'456_rustc-rayon-core', true, 7, 0, '2018-11-14 16:43:13', '2018-11-14 16:43:20'
'458_gfx_gl', true, 133, 0, '2018-11-14 16:43:20', '2018-11-14 16:45:33'
'459_rmp', true, 4, 0, '2018-11-14 16:45:33', '2018-11-14 16:45:37'
'462_gl', true, 21, 0, '2018-11-14 16:45:37', '2018-11-14 16:45:58'
'465_dwmapi-sys', true, 1, 0, '2018-11-14 16:45:58', '2018-11-14 16:45:59'
'472_xmltree', true, 1, 0, '2018-11-14 16:45:59', '2018-11-14 16:46:01'
'473_hostname', true, 0, 0, '2018-11-14 16:46:01', '2018-11-14 16:46:01'
'474_parity-wasm', true, 92, 0, '2018-11-14 16:46:01', '2018-11-14 16:47:33'
'475_os_pipe', true, 60, 0, '2018-11-14 16:47:33', '2018-11-14 16:48:33'
'476_number_prefix', true, 1, 0, '2018-11-14 16:48:33', '2018-11-14 16:48:34'
'477_minifier', true, 11, 0, '2018-11-14 16:48:34', '2018-11-14 16:48:45'
'478_sequence_trie', true, 1, 0, '2018-11-14 16:48:45', '2018-11-14 16:48:46'
'479_postgres', true, 16, 0, '2018-11-14 16:48:46', '2018-11-14 16:49:02'
'483_duct', true, 269, 0, '2018-11-14 16:49:02', '2018-11-14 16:53:32'
'486_wayland-protocols', true, 0, 0, '2018-11-14 16:53:32', '2018-11-14 16:53:35'
'487_ctrlc', true, 1, 0, '2018-11-14 16:53:35', '2018-11-14 16:53:36'
'489_shared_child', true, 1, 0, '2018-11-14 16:53:36', '2018-11-14 16:53:37'
'490_csv-core', true, 5, 0, '2018-11-14 16:53:37', '2018-11-14 16:53:42'
