'Crate name', 'Successful verification', 'Whitelist items', 'Verified items', 'Successful items', 'Duration (s)', 'Exit status', 'Start', 'End', 'Parsing duration', 'Type-checking duration', 'Encoding duration', 'Verification duration'
'063_smallvec', true, 36, 36, 36, 12, 0, '2018-11-15 03:07:05', '2018-11-15 03:07:17', 0.0, 0.0, 0.7, 2.7
'065_rustc-demangle', true, 0, 0, 0, 6, 0, '2018-11-15 03:07:17', '2018-11-15 03:07:23', 0.0, 0.0, 0.0, 1.10
'066_proc-macro2', true, 2, 2, 2, 19, 0, '2018-11-15 03:07:23', '2018-11-15 03:07:42', 0.1, 0.0, 0.0, 1.24
'067_base64', true, 0, 0, 0, 18, 0, '2018-11-15 03:07:42', '2018-11-15 03:08:00', 0.1, 0.0, 0.0, 1.10
'068_uuid', true, 1, 1, 1, 12, 0, '2018-11-15 03:08:00', '2018-11-15 03:08:12', 0.0, 0.0, 0.0, 1.56
'069_net2', true, 26, 26, 26, 16, 0, '2018-11-15 03:08:12', '2018-11-15 03:08:28', 0.1, 0.0, 0.7, 2.33
'070_language-tags', true, 1, 1, 1, 9, 0, '2018-11-15 03:08:28', '2018-11-15 03:08:37', 0.0, 0.0, 0.1, 1.59
'071_percent-encoding', true, 0, 0, 0, 4, 0, '2018-11-15 03:08:37', '2018-11-15 03:08:41', 0.0, 0.0, 0.0, 1.10
'072_traitobject', true, 0, 0, 0, 3, 0, '2018-11-15 03:08:41', '2018-11-15 03:08:44', 0.0, 0.0, 0.0, 1.10
'073_backtrace-sys', true, 0, 0, 0, 30, 0, '2018-11-15 03:08:44', '2018-11-15 03:09:14', 0.0, 0.0, 0.0, 1.5
'074_futures', true, 4, 4, 4, 26, 0, '2018-11-15 03:09:14', '2018-11-15 03:09:40', 0.5, 0.0, 0.3, 1.58
'075_lazycell', true, 0, 0, 0, 4, 0, '2018-11-15 03:09:40', '2018-11-15 03:09:44', 0.0, 0.0, 0.0, 1.15
'077_quick-error', true, 0, 0, 0, 3, 0, '2018-11-15 03:09:44', '2018-11-15 03:09:47', 0.0, 0.0, 0.0, 1.9
'078_crossbeam', true, 0, 0, 0, 163, 0, '2018-11-15 03:09:47', '2018-11-15 03:12:30', 0.0, 0.0, 0.0, 1.9
'079_flate2', true, 13, 13, 13, 41, 0, '2018-11-15 03:12:30', '2018-11-15 03:13:11', 0.2, 0.0, 0.3, 2.4
'081_mio', true, 36, 36, 36, 52, 0, '2018-11-15 03:13:11', '2018-11-15 03:14:03', 0.3, 0.0, 0.38, 6.10
'082_textwrap', true, 0, 0, 0, 10, 0, '2018-11-15 03:14:03', '2018-11-15 03:14:13', 0.0, 0.0, 0.0, 1.12
'083_scopeguard', true, 1, 1, 1, 3, 0, '2018-11-15 03:14:13', '2018-11-15 03:14:16', 0.0, 0.0, 0.0, 1.27
'084_bytes', true, 2, 2, 2, 26, 0, '2018-11-15 03:14:16', '2018-11-15 03:14:42', 0.2, 0.0, 0.3, 1.27
'086_getopts', true, 0, 0, 0, 12, 0, '2018-11-15 03:14:42', '2018-11-15 03:14:54', 0.0, 0.0, 0.0, 1.13
'087_nodrop', true, 0, 0, 0, 3, 0, '2018-11-15 03:14:54', '2018-11-15 03:14:57', 0.0, 0.0, 0.0, 1.14
'088_glob', true, 1, 1, 1, 10, 0, '2018-11-15 03:14:57', '2018-11-15 03:15:07', 0.0, 0.0, 0.0, 1.37
'089_either', true, 0, 0, 0, 4, 0, '2018-11-15 03:15:07', '2018-11-15 03:15:11', 0.0, 0.0, 0.0, 1.16
'090_typeable', true, 0, 0, 0, 3, 0, '2018-11-15 03:15:11', '2018-11-15 03:15:14', 0.0, 0.0, 0.0, 1.11
'091_miniz-sys', true, 0, 0, 0, 28, 0, '2018-11-15 03:15:14', '2018-11-15 03:15:42', 0.0, 0.0, 0.0, 1.14
'092_walkdir', true, 0, 0, 0, 10, 0, '2018-11-15 03:15:42', '2018-11-15 03:15:52', 0.0, 0.0, 0.0, 1.10
'093_unicode-segmentation', true, 5, 5, 5, 18, 0, '2018-11-15 03:15:52', '2018-11-15 03:16:10', 0.2, 0.0, 0.31, 7.85
'094_fnv', true, 2, 2, 2, 3, 0, '2018-11-15 03:16:10', '2018-11-15 03:16:13', 0.0, 0.0, 0.0, 1.30
'095_num-rational', true, 0, 0, 0, 59, 0, '2018-11-15 03:16:13', '2018-11-15 03:17:12', 0.0, 0.0, 0.0, 1.21
'096_libz-sys', true, 0, 0, 0, 38, 0, '2018-11-15 03:17:12', '2018-11-15 03:17:50', 0.0, 0.0, 0.0, 1.8
'097_version_check', true, 0, 0, 0, 4, 0, '2018-11-15 03:17:50', '2018-11-15 03:17:54', 0.0, 0.0, 0.0, 1.10
'098_crossbeam-utils', true, 0, 0, 0, 4, 0, '2018-11-15 03:17:54', '2018-11-15 03:17:58', 0.0, 0.0, 0.0, 1.10
'099_semver-parser', true, 0, 0, 0, 15, 0, '2018-11-15 03:17:58', '2018-11-15 03:18:13', 0.0, 0.0, 0.0, 1.18
'101_arrayvec', true, 58, 58, 58, 11, 0, '2018-11-15 03:18:13', '2018-11-15 03:18:24', 0.0, 0.0, 0.11, 2.76
'102_scoped-tls', true, 0, 0, 0, 3, 0, '2018-11-15 03:18:24', '2018-11-15 03:18:27', 0.0, 0.0, 0.0, 1.11
'103_crossbeam-epoch', true, 0, 0, 0, 30, 0, '2018-11-15 03:18:27', '2018-11-15 03:18:57', 0.1, 0.0, 0.0, 1.11
